null	No.	OK	change	protein name	old
R00	13613			Photosystem II reaction center Psb28 protein	photosystem II Psb28 protein
R00	13614			Photosystem II reaction center protein H	photosystem II PsbH protein, PSII-H
R00	13615			Phosphate import ATP-binding protein PstB	putative phosphate transport system ATP-binding protein
R00	13616			Ribosome maturation factor RimM	probable 16S rRNA processing protein
R00	13617			6,7-dimethyl-8-ribityllumazine synthase	riboflavin synthase beta chain
R00	13618			Pyruvate dehydrogenase E1 component subunit alpha	pyruvate dehydrogenase E1 alpha subunit
R00	13619			Pseudouridine synthase	putative pseudouridylate synthase
R00	13620			Magnesium transport protein CorA	magnesium/cobalt transport protein
R00	13621			UPF0272 protein NIES39_E02100	hypothetical protein
R00	13622			UPF0182 protein NIES39_H00340	hypothetical membrane protein
R00	13623			UPF0061 protein NIES39_A00990	hypothetical protein
U00	13624			FHA domain containing protein	FHA domain containing protein, fragment
U00	13625			Putative glycoside hydrolase	putative glycoside hydrolase, fragment
R00	13626			Magnesium-protoporphyrin IX monomethyl ester [oxidative] cyclase	aerobic Mg-protoporphyrin IX monomethylester cyclase
R00	13627			3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase
R00	13628			NAD(P)H-quinone oxidoreductase subunit O	NADH dehydrogenase subunit NdhO
R00	13629			Nucleoid-associated protein NIES39_C00240	hypothetical protein
R00	13630			Maf-like protein NIES39_E01310	Maf-like protein
R00	13631			Probable transcriptional regulatory protein NIES39_J02440	hypothetical protein
U02	13632			hypothetical protein	protein of unknown function DUF1974
U00	13633			Putative carbonate dehydratase	putative carbonate dehydratase, precursor
R00	13634			Spermidine/putrescine import ATP-binding protein PotA	putative spermidine/putrescine ABC transporter ATP-binding subunit
R00	13635			DNA-directed RNA polymerase subunit omega	putative RNA polymerase omega subunit
R00	13636			NAD(P) transhydrogenase subunit beta	putative nicotinamide nucleotide transhydrogenase beta subunit
R00	13637			Bifunctional protein HldE	rfaE bifunctional protein
R00	13638			Coenzyme PQQ synthesis protein B	pyrroloquinoline quinone biosynthesis protein PqqB
R00	13639			UPF0102 protein Chro_0639	Uncharacterized protein family UPF0102
U02	13640			hypothetical protein	Protein of unknown function DUF2419
R00	13641			Octanoyltransferase	lipoate--protein ligase
R00	13642			Release factor glutamine methyltransferase	N5-glutamine S-adenosyl-L-methionine-dependent methyltransferase
R00	13643			LexA repressor	LexA repressor protein
R00	13644			Acetolactate synthase	acetohydroxyacid synthetase large subunit
R00	13645			UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase	UDP-N-acetylmuramyl peptide synthase
R00	13646			Ribosomal RNA small subunit methyltransferase B	16S rRNA methyltransferase
R00	13647			Homoserine O-acetyltransferase	proable homoserine O-acetyltransferase
R00	13648			Peptide deformylase	hypothetical protein
R00	13649			Exodeoxyribonuclease 7 small subunit	exodeoxyribonuclease VII
R00	13650			Mini-ribonuclease 3	ribonuclease III family protein
R00	13651			Bifunctional purine biosynthesis protein PurH	phosphoribosyl aminoimidazole carboxy formyl formyltransferase/inosinemonophosphate cyclohydrolase
R00	13652			Protein translocase subunit SecE	preprotein translocase subunit
R00	13653			Ribosomal RNA small subunit methyltransferase E	16S rRNA methyltransferase
R00	13654			Protein Thf1	inositol phosphatase
R00	13655			Pyruvate dehydrogenase E1 component subunit alpha	pyruvate dehydrogenase E1 alpha-subunit
R00	13656			tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	rRNA methyltransferase
R00	13657			Probable transcriptional regulatory protein KR52_05425	transcriptional regulator
R00	13658			Lipoprotein signal peptidase	peptidase A8
R00	13659			Recombination protein RecR	hypothetical protein
R00	13660			Pyruvate dehydrogenase E1 component subunit alpha	pyruvate dehydrogenase E1 component alpha
R00	13661			tRNA-specific adenosine deaminase	cytidine deaminase
R00	13662			UPF0284 protein KR52_13995	hypothetical protein
R00	13663			Nucleoid-associated protein KR52_02345	hypothetical protein
R00	13664			Exodeoxyribonuclease 7 large subunit	Exodeoxyribonuclease VII
R00	13665			Enolase-phosphatase E1	HAD family hydrolase
R00	13666			Phosphonates import ATP-binding protein PhnC	phosphonate ABC transporter ATP-binding protein
R00	13667			Signal peptidase I	peptidase A26
R00	13668			Superoxide dismutase [Cu-Zn]	superoxide dismutase
R00	13669			Glucosamine-6-phosphate deaminase	glucosamine-6-phosphate deaminase
R00	13670			Maf-like protein KR52_13120	septum formation protein Maf
R00	13671			UPF0367 protein KR52_04215	hypothetical protein
R00	13672			UPF0284 protein NATL1_04941	NaMN:DMB phosphoribosyltransferase
R00	13673			UPF0284 protein P9211_04361	NaMN:DMB phosphoribosyltransferase
U00	13674			Cation-transporting ATPase E1-E2 ATPase	cation-transporting ATPase; E1-E2 ATPase
U00	13675			Lactose transport system permease protein LacF	lactose transport system permease protein; LacF
U00	13676			Mn transporter MntC	Mn transporter; MntC
U00	13677			Polysialic acid transport ATP-binding protein KpsT	polysialic acid transport ATP-binding protein; KpsT
U00	13678			Serum resistance locus BrkB	serum resistance locus; BrkB
U00	13679			Sigma factor SibG regulation protein RsbU	sigma factor SibG regulation protein; RsbU
U01	13680			PmgA protein	PmgA
U00	13681			Mercuric resistance operon regulatory protein precorrin isomerase	mercuric resistance operon regulatory protein; precorrin isomerase
U00	13682			ATP-dependent proteinase BsgA	ATP-dependent proteinase; BsgA
U00	13683			Putative ORF1	putative; ORF1
U00	13684			LPS glycosyltransferase IcsA	LPS glycosyltransferase; IcsA
U00	13685			Iron(III) dicitrate transport system permease protein FecD	iron(III) dicitrate transport system permease protein; FecD
U00	13686			Iron(III) dicitrate transport system permease protein FecE	iron(III) dicitrate transport system permease protein; FecE
R00	13687			60 kDa chaperonin	GroEL protein (Chaperonin cpn60)
R00	13688			Glycogen operon protein GlgX homolog	glycogen operon protein; GlgX
R00	13689			ATP-dependent Clp protease adapter protein ClpS	Conserved hypothetical protein
R00	13690			Exodeoxyribonuclease 7 small subunit	Exodeoxyribonuclease VII
R00	13691			Release factor glutamine methyltransferase	putative protein methyltransferase
R00	13692			Putative membrane protein insertion efficiency factor	ribonuclease P
R00	13693			Histidine kinase	regulation of the phosphate regulon
R00	13694			Ribonuclease VapC	plasmid stabilization protein
R00	13695			Threonine synthase	Threonine synthase: Pyridoxal-5'-phosphate-dependent enzyme, beta family
R00	13696			D,D-heptose 1,7-bisphosphate phosphatase	imidazoleglycerol-phosphate dehydratase; histidinol-phosphatase
R00	13697			UPF0272 protein P9211_04881	Conserved hypothetical protein
R00	13698			UPF0176 protein P9211_10921	Predicted sulfurtransferase
U01	13699			PleD protein	PleD
U00	13700			Sporulation protein SpoIID	sporulation protein; SpoIID
U00	13701			Iron(III) dicitrate transport system permease protein FecC	iron(III) dicitrate transport system permease protein; FecC
U00	13702			Glycolate oxidase subunit GlcE	glycolate oxidase subunit; GlcE
U01	13703			ComE protein	ComE
U00	13704			Mg-chelatase subunit ChlH	Mg-chelatase subunit; ChlH
U00	13705			Virginiamycin B hydrolase Vgb	virginiamycin B hydrolase; Vgb
U00	13706			Regulatory protein PcrR	regulatory protein; PcrR
R00	13707			Chromophore lyase CpcT/CpeT	Hypothetical protein
R00	13708			Transport permease protein	Ycf38
R00	13709			Prephenate dehydratase	chorismate mutase /prephenate dehydratase
R00	13710			Transcription termination/antitermination protein NusA	N utilization substance protein
U00	13711			Quinolene resistance protein NorA	quinolene resistance protein; NorA
U00	13712			Polysialic acid transport protein KpsM	polysialic acid transport protein; KpsM
U00	13713			Lipoprotein NlpD	lipoprotein; NlpD
U00	13714			Lactose transport system permease protein LacG	lactose transport system permease protein; LacG
U00	13715			Membrane bound protein LytR	membrane bound protein; LytR
U00	13716			Nitrate transport protein NrtD	nitrate transport protein; NrtD
R00	13717			2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate synthase	2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylatesynthase
R00	13718			Anti-sigma factor antagonist	anti-sigma B factor antagonist
R00	13719			Transport permease protein	integral membrane O-antigen translocator protein
R00	13720			UPF0391 membrane protein Pse7367_0897	UPF0391 membrane protein ytjA
R00	13721			Serine acetyltransferase	transferase hexapeptide repeat containing protein
R00	13722			UPF0284 protein Pse7367_3140	UPF0284 protein
R00	13723			V-type ATP synthase subunit I	V-type ATPase 116 kDa subunit
U02	13724			hypothetical protein	Protein of unknown function NKWYS
R00	13725			DNA helicase	DNA polymerase III, epsilon subunit
R00	13726			UPF0182 protein PCC7418_1474	protein of unknown function UPF0182
R00	13727			UPF0296 protein Pse7367_3562	UPF0296 protein
R00	13728			UPF0367 protein A9601_01421	conserved hypothetical protein
U02	13729			hypothetical protein	Protein of unknown function DUF2335, membrane
R00	13730			Thymidylate synthase ThyX	Thymidylate synthase thyX
R00	13731			UPF0176 protein PCC7418_3278	Rhodanese domain protein
R00	13732			UPF0102 protein PCC7418_1074	Uncharacterized protein family UPF0102
R00	13733			Maf-like protein Pse7367_1520	Septum formation protein Maf
U02	13734			hypothetical protein	protein of unknown function DUF1428
U02	13735			hypothetical protein	protein of unknown function DUF302
R00	13736			Phosphate-transporting ATPase	phosphate ABC transporter ATP-binding protein, PhoT family
R00	13737			Anti-sigma factor antagonist	Sulfate transporter/antisigma-factor antagonist STAS
R00	13738			Ribosome biogenesis GTPase A	Predicted GTPases
R00	13739			tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ	tRNA/rRNA methyltransferase (SpoU)
R00	13740			UPF0061 protein Pse7367_2829	UPF0061 protein ydiU
R00	13741			UPF0272 protein PCC7418_0867	protein of unknown function DUF111
R00	13742			UPF0234 protein PCC7418_2718	protein of unknown function DUF520
R00	13743			DNA replication and repair protein RecF	DNA replication and repair protein recF
R00	13744			Probable transcriptional regulatory protein PCC7418_1378	protein of unknown function DUF28
R00	13745			UPF0145 protein Pse7367_1185	UPF0145 protein ybjQ
R00	13746			UPF0234 protein Pse7367_2415	UPF0234 protein yajQ
U02	13747			hypothetical protein	protein of unknown function DUF935
U02	13748			hypothetical protein	protein of unknown function DUF1330
R00	13749			Imidazole glycerol phosphate synthase subunit HisF	Imidazole glycerol phosphate synthase subunit hisF
R00	13750			UPF0102 protein Pse7367_2899	UPF0102 protein yraN
R00	13751			UPF0061 protein PCC7418_0337	protein of unknown function UPF0061
R00	13752			Nucleoid-associated protein Pse7367_3099	UPF0133 protein ybaB
U02	13753			hypothetical protein	conserved hypothetical protein, HglK
R00	13754			Protease HtpX homolog	protease htpX
R00	13755			UPF0145 protein PCC7418_2155	protein of unknown function DUF74
R00	13756			Nucleoid-associated protein PCC7418_0723	Uncharacterized protein family UPF0133
R00	13757			UPF0102 protein Osc7112_2915	UPF0102 protein yraN
R00	13758			UPF0182 protein Osc7112_4214	UPF0182 protein
U02	13759			hypothetical protein	protein of unknown function DUF224, cysteine-rich region domain protein
U02	13760			hypothetical protein	protein of unknown function, nitrogen fixation
U02	13761			hypothetical protein	conserved hypothetical protein, predicted transcription regulator
R00	13762			Chaperone protein ClpB	ATPase AAA-2 domain protein
R00	13763			Histidinol-phosphate aminotransferase	aminotransferase, class I and II
R00	13764			Translation initiation factor IF-3	initiation factor 3
R00	13765			S-methyl-5'-thioadenosine phosphorylase	Methylthioadenosine phosphorylase
R00	13766			Putative pterin-4-alpha-carbinolamine dehydratase	4A-hydroxytetrahydrobiopterin dehydratase (PCD)
R00	13767			Ribose import ATP-binding protein RbsA	ABC transporter related
R00	13768			RNA polymerase sigma factor	RNA polymerase, sigma 70 subunit, RpoD family
R00	13769			Glycolate oxidase iron-sulfur subunit	protein of unknown function DUF224, cysteine-rich region domain protein
R00	13770			Glutamate dehydrogenase	Glu/Leu/Phe/Val dehydrogenase, C terminal
R00	13771			Type 4 prepilin-like proteins leader peptide-processing enzyme	peptidase A24A domain protein PilD
R00	13772			UPF0272 protein Syncc8109_0732	hypothetical protein
R00	13773			UPF0182 protein Npun_R1615	protein of unknown function UPF0182
U02	13774			hypothetical protein	conserved hypothetical protein 341
U02	13775			hypothetical protein	putative protein phosphatase 2C
R00	13776			6-phosphogluconate dehydrogenase, decarboxylating	6-phosphogluconate dehydrogenase Gnd, decarboxylating
R00	13777			D-fructose 1,6-bisphosphatase class 2/sedoheptulose 1,7-bisphosphatase	GlpX family protein
R00	13778			3-isopropylmalate dehydrogenase	isocitrate/isopropylmalate dehydrogenase
R00	13779			Phycobilisome 7.8 kDa linker polypeptide, allophycocyanin-associated, core	phycobilisome linker domain protein ApcC
R00	13780			7-carboxy-7-deazaguanine synthase	putative organic radical activating enzyme
R00	13781			Pyruvate dehydrogenase E1 component subunit alpha	dehydrogenase, E1 component
R00	13782			tRNA-specific adenosine deaminase	CMP/dCMP deaminase, zinc-binding
R00	13783			Zinc metalloprotease	Peptidase M50, putative membrane-associated zinc metallopeptidase
R00	13784			RNA polymerase sigma factor	RNA polymerase, sigma 28 subunit, FliA/WhiG family
R00	13785			RNA polymerase sigma factor	putative type II alternative RNA polymerase sigma factor
R00	13786			Ribosome biogenesis GTPase A	GTP-binding protein, HSR1-related
R00	13787			Beta-N-acetylhexosaminidase	glycoside hydrolase, family 3 domain protein
R00	13788			UPF0176 protein Syncc8109_0992	Rhodanese-like protein
R00	13789			Nucleoid-associated protein Syncc8109_0026	hypothetical protein
U02	13790			hypothetical protein	Protein of unknown function (DUF2633)
R00	13791			Coenzyme PQQ synthesis protein B	coenzyme PQQ biosynthesis protein B
R00	13792			UPF0284 protein Nos7524_4905	TIGR00303 family protein
U02	13793			hypothetical protein	Protein of unknown function (DUF3240)
U02	13794			hypothetical protein	Protein of unknown function (DUF3106)
R00	13795			Putative cysteine ligase BshC	bacillithiol biosynthesis cysteine-adding enzyme BshC
R00	13796			UPF0182 protein Nos7524_3860	hypothetical protein
U02	13797			hypothetical protein	protein of unknown function UPF0074
U00	13798			N-methylglutamate synthase subunit C	N-methylglutamate synthase subunit C precursor
R00	13799			Protein-L-isoaspartate O-methyltransferase	Protein-L-isoaspartate(D-aspartate)O-methyltrans ferase
R00	13800			NADH pyrophosphatase	NAD(+) diphosphatase
